"Dealership Name",VIN,Year,Make,Model,Trim,"Vehicle Status","Stock Number","Date In stock","VDP URLs"
"Lou Fusz CDJR Vincennes",3C6LRVBG5SE523719,2025,RAM,ProMaster,SLT,"At Dealership",Y3165,2024-08-09,https://www.loufuszcjdrvincennes.com/inventory/new-2025-ram-promaster-slt-4x2-cargo-van-3c6lrvbg5se523719/
"Lou Fusz CDJR Vincennes",1C4RJYD66S8687815,2025,Jeep,"Grand Cherokee 4xe",Overland,"At Dealership",Y253202,2025-03-17,https://www.loufuszcjdrvincennes.com/inventory/new-2025-jeep-grand-cherokee-4xe-overland-4x4-sport-utility-1c4rjyd66s8687815/
"Lou Fusz CDJR Vincennes",1C4RJHDG0S8695949,2025,Jeep,"Grand Cherokee",Overland,"At Dealership",Y253230,2025-04-30,https://www.loufuszcjdrvincennes.com/inventory/new-2025-jeep-grand-cherokee-overland-4x4-sport-utility-1c4rjhdg0s8695949/
"Lou Fusz CDJR Vincennes",3C63R5CLXTG160884,2026,RAM,2500,Tradesman,"At Dealership",Y263267,2025-09-09,https://www.loufuszcjdrvincennes.com/inventory/new-2026-ram-2500-tradesman-4x4-crew-cab-3c63r5clxtg160884/
"Lou Fusz CDJR Vincennes",1C6PJTAG0SL533824,2025,Jeep,Gladiator,"Sport S","At Dealership",Y253278,2025-08-15,https://www.loufuszcjdrvincennes.com/inventory/new-2025-jeep-gladiator-sport-s-4x4-crew-cab-1c6pjtag0sl533824/
"Lou Fusz CDJR Vincennes",2C4RC1BG4TR157572,2026,Chrysler,Pacifica,Select,"At Dealership",Y263275,2025-08-26,https://www.loufuszcjdrvincennes.com/inventory/new-2026-chrysler-pacifica-select-fwd-passenger-van-2c4rc1bg4tr157572/
"Lou Fusz CDJR Vincennes",1C6PJTAG6SL551714,2025,Jeep,Gladiator,"Sport S","At Dealership",Y253305,2025-09-24,https://www.loufuszcjdrvincennes.com/inventory/new-2025-jeep-gladiator-sport-s-4x4-crew-cab-1c6pjtag6sl551714/
"Lou Fusz CDJR Vincennes",1C6PJTAG7TL152778,2026,Jeep,Gladiator,Willys,"At Dealership",Y263340,2025-10-31,https://www.loufuszcjdrvincennes.com/inventory/new-2026-jeep-gladiator-willys-4x4-crew-cab-1c6pjtag7tl152778/
"Lou Fusz CDJR Vincennes",3C4NJDCN7TT166296,2026,Jeep,Compass,"Limited Altitude","At Dealership",Y263323,2025-11-05,https://www.loufuszcjdrvincennes.com/inventory/new-2026-jeep-compass-limited-altitude-4x4-sport-utility-3c4njdcn7tt166296/
"Lou Fusz CDJR Vincennes",1C6RJTEG9TL152767,2026,Jeep,Gladiator,"Mojave X","At Dealership",Y263336,2025-10-31,https://www.loufuszcjdrvincennes.com/inventory/new-2026-jeep-gladiator-mojave-x-4x4-crew-cab-1c6rjteg9tl152767/
"Lou Fusz CDJR Vincennes",1C6PJTAG0TL153903,2026,Jeep,Gladiator,Willys,"At Dealership",Y263337,2025-10-31,https://www.loufuszcjdrvincennes.com/inventory/new-2026-jeep-gladiator-willys-4x4-crew-cab-1c6pjtag0tl153903/
"Lou Fusz CDJR Vincennes",2C4RC1CG4TR183846,2026,Chrysler,Voyager,LX,"At Dealership",Y263326,2025-10-17,https://www.loufuszcjdrvincennes.com/inventory/new-2026-chrysler-voyager-lx-fwd-passenger-van-2c4rc1cg4tr183846/
"Lou Fusz CDJR Vincennes",1C4PJXAN8TW162068,2026,Jeep,Wrangler,Sport,"At Dealership",Y263329,2025-10-31,https://www.loufuszcjdrvincennes.com/inventory/new-2026-jeep-wrangler-sport-4x4-2-door-1c4pjxan8tw162068/
"Lou Fusz CDJR Vincennes",3C4NJDCN5TT180827,2026,Jeep,Compass,"Limited Altitude","At Dealership",Y263342,2025-12-03,https://www.loufuszcjdrvincennes.com/inventory/new-2026-jeep-compass-limited-altitude-4x4-sport-utility-3c4njdcn5tt180827/
"Lou Fusz CDJR Vincennes",1C4PJXAN1TW166480,2026,Jeep,Wrangler,"Sport S","At Dealership",Y263343,2025-11-10,https://www.loufuszcjdrvincennes.com/inventory/new-2026-jeep-wrangler-sport-s-4x4-2-door-1c4pjxan1tw166480/
"Lou Fusz CDJR Vincennes",3C63R5EL1TG226378,2026,RAM,2500,Rebel,"At Dealership",Y263370,2025-12-31,https://www.loufuszcjdrvincennes.com/inventory/new-2026-ram-2500-rebel-4x4-crew-cab-3c63r5el1tg226378/
"Lou Fusz CDJR Vincennes",3C4NJDBN2TT197652,2026,Jeep,Compass,"Latitude Altitude","At Dealership",Y263349,2025-12-03,https://www.loufuszcjdrvincennes.com/inventory/new-2026-jeep-compass-latitude-altitude-4x4-sport-utility-3c4njdbn2tt197652/
"Lou Fusz CDJR Vincennes",3C63R5DL4TG243273,2026,RAM,2500,"Big Horn","At Dealership",Y263362,2025-12-31,https://www.loufuszcjdrvincennes.com/inventory/new-2026-ram-2500-big-horn-4x4-crew-cab-3c63r5dl4tg243273/
"Lou Fusz CDJR Vincennes",3C63R5DL2TG243272,2026,RAM,2500,"Big Horn","At Dealership",Y263369,2025-12-31,https://www.loufuszcjdrvincennes.com/inventory/new-2026-ram-2500-big-horn-4x4-crew-cab-3c63r5dl2tg243272/
"Lou Fusz CDJR Vincennes",2C4RC1GG8TR211724,2026,Chrysler,Pacifica,Limited,"At Dealership",Y263351,2025-11-24,https://www.loufuszcjdrvincennes.com/inventory/new-2026-chrysler-pacifica-limited-fwd-passenger-van-2c4rc1gg8tr211724/
"Lou Fusz CDJR Vincennes",2C4RC1GG6TR211723,2026,Chrysler,Pacifica,Limited,"At Dealership",Y263352,2025-12-08,https://www.loufuszcjdrvincennes.com/inventory/new-2026-chrysler-pacifica-limited-fwd-passenger-van-2c4rc1gg6tr211723/
"Lou Fusz CDJR Vincennes",2C4RC1CG3TR221891,2026,Chrysler,Voyager,LX,"At Dealership",Y263357,2025-12-12,https://www.loufuszcjdrvincennes.com/inventory/new-2026-chrysler-voyager-lx-fwd-passenger-van-2c4rc1cg3tr221891/
"Lou Fusz CDJR Vincennes",3C4NJDBN9TT193596,2026,Jeep,Compass,"Latitude Altitude","At Dealership",Y263365,2025-12-29,https://www.loufuszcjdrvincennes.com/inventory/new-2026-jeep-compass-latitude-altitude-4x4-sport-utility-3c4njdbn9tt193596/
"Lou Fusz CDJR Vincennes",2C4RC3BGXTR228219,2026,Chrysler,Pacifica,Select,"At Dealership",Y263361,2025-12-15,https://www.loufuszcjdrvincennes.com/inventory/new-2026-chrysler-pacifica-select-awd-passenger-van-2c4rc3bgxtr228219/
