"Dealership Name",VIN,Year,Make,Model,Trim,"Vehicle Status","Stock Number","Date In stock","VDP URLs"
"Lou Fusz CDJRF",3C7WRTCJ3SG532365,2025,RAM,"3500 Chassis",Tradesman,"At Dealership",DR25114,2025-04-01,https://www.loufuszchryslerjeepdodge.net/inventory/new-2025-ram-3500-chassis-tradesman-4x4-crew-cab-3c7wrtcj3sg532365/
"Lou Fusz CDJRF",3C7WRTCJ2SG518845,2025,RAM,"3500 Chassis Cab",Tradesman,"At Dealership",DR25126,2025-05-14,https://www.loufuszchryslerjeepdodge.net/inventory/new-2025-ram-3500-chassis-cab-tradesman-4x4-crew-cab-3c7wrtcj2sg518845/
"Lou Fusz CDJRF",3C7WRTCJ0SG551357,2025,RAM,"3500 Chassis",Tradesman,"At Dealership",DR25150,2025-06-01,https://www.loufuszchryslerjeepdodge.net/inventory/new-2025-ram-3500-chassis-tradesman-4x4-crew-cab-3c7wrtcj0sg551357/
"Lou Fusz CDJRF",1C4SDJFT9SC549637,2025,Dodge,Durango,Pursuit,"At Dealership",DF25075,2025-07-01,https://www.loufuszchryslerjeepdodge.net/inventory/new-2025-dodge-durango-pursuit-awd-sport-utility-1c4sdjft9sc549637/
"Lou Fusz CDJRF",1C4SDJFT5SC549635,2025,Dodge,Durango,Pursuit,"At Dealership",DF25078,2025-07-01,https://www.loufuszchryslerjeepdodge.net/inventory/new-2025-dodge-durango-pursuit-awd-sport-utility-1c4sdjft5sc549635/
"Lou Fusz CDJRF",1C4RJKBG7S8709846,2025,Jeep,"Grand Cherokee L",Limited,"At Dealership",DJ25369,2025-07-15,https://www.loufuszchryslerjeepdodge.net/inventory/new-2025-jeep-grand-cherokee-l-limited-4x4-sport-utility-1c4rjkbg7s8709846/
"Lou Fusz CDJRF",3C7WRNBL6TG154252,2026,RAM,"5500 Chassis Cab",Tradesman,"At Dealership",DR26031,2025-10-01,https://www.loufuszchryslerjeepdodge.net/inventory/new-2026-ram-5500-chassis-cab-tradesman-4x4-regular-cab-3c7wrnbl6tg154252/
"Lou Fusz CDJRF",3C6LRVVG8SE569783,2025,RAM,ProMaster,Base,"At Dealership",DR25192,2025-07-25,https://www.loufuszchryslerjeepdodge.net/inventory/new-2025-ram-promaster-base-4x2-cargo-van-3c6lrvvg8se569783/
"Lou Fusz CDJRF",2C4RC1BGXTR158662,2026,Chrysler,Pacifica,Select,"At Dealership",DC26001,2025-09-02,https://www.loufuszchryslerjeepdodge.net/inventory/new-2026-chrysler-pacifica-select-fwd-passenger-van-2c4rc1bgxtr158662/
"Lou Fusz CDJRF",1C6SRFJP8TN178802,2026,RAM,1500,Laramie,"At Dealership",DR26016,2025-08-13,https://www.loufuszchryslerjeepdodge.net/inventory/new-2026-ram-1500-laramie-4x4-crew-cab-1c6srfjp8tn178802/
"Lou Fusz CDJRF",2C4RC1BG8TR158658,2026,Chrysler,Pacifica,Select,"At Dealership",DC26013,2025-08-13,https://www.loufuszchryslerjeepdodge.net/inventory/new-2026-chrysler-pacifica-select-fwd-passenger-van-2c4rc1bg8tr158658/
"Lou Fusz CDJRF",1C6SRFJP1TN178804,2026,RAM,1500,Laramie,"At Dealership",DR26025,2025-08-04,https://www.loufuszchryslerjeepdodge.net/inventory/new-2026-ram-1500-laramie-4x4-crew-cab-1c6srfjp1tn178804/
"Lou Fusz CDJRF",3C63R3GL6TG182413,2026,RAM,3500,Tradesman,"At Dealership",DR26032,2025-09-09,https://www.loufuszchryslerjeepdodge.net/inventory/new-2026-ram-3500-tradesman-4x4-crew-cab-3c63r3gl6tg182413/
"Lou Fusz CDJRF",3C4NJDCN5TT162439,2026,Jeep,Compass,Limited,"At Dealership",DJ26004,2025-09-27,https://www.loufuszchryslerjeepdodge.net/inventory/new-2026-jeep-compass-limited-4x4-sport-utility-3c4njdcn5tt162439/
"Lou Fusz CDJRF",3C63R3GLXTG185976,2026,RAM,3500,Tradesman,"At Dealership",DR26056,2025-10-02,https://www.loufuszchryslerjeepdodge.net/inventory/new-2026-ram-3500-tradesman-4x4-crew-cab-3c63r3glxtg185976/
"Lou Fusz CDJRF",3C63R3CJ0TG202269,2026,RAM,3500,Tradesman,"At Dealership",DR26061,2025-10-02,https://www.loufuszchryslerjeepdodge.net/inventory/new-2026-ram-3500-tradesman-4x4-crew-cab-3c63r3cj0tg202269/
