"Dealership Name",VIN,Year,Make,Model,Trim,"Vehicle Status","Stock Number","Date In stock","VDP URLs"
"Lou Fusz Chevrolet",1GB0GRF73S1198689,2025,Chevrolet,"Express Cutaway 3500",1WT,"In Transit",CF252363,2025-04-18,https://www.loufuszchevrolet.com/inventory/new-2025-chevrolet-express-cutaway-3500-1wt-rear-wheel-drive-regular-wheelbase-1gb0grf73s1198689/
"Lou Fusz Chevrolet",1GB4KSEY4SF296828,2025,Chevrolet,"Silverado 3500 HD Chassis Cab","Work Truck","At Dealership",CF252348,2025-04-28,https://www.loufuszchevrolet.com/inventory/new-2025-chevrolet-silverado-3500-hd-chassis-cab-work-truck-four-wheel-drive-crew-cab-1gb4ksey4sf296828/
"Lou Fusz Chevrolet",3GNKDCRM4TS129934,2026,Chevrolet,"Blazer EV",RS,"At Dealership",C26512,2025-10-24,https://www.loufuszchevrolet.com/inventory/new-2026-chevrolet-blazer-ev-rs-front-wheel-drive-suv-3gnkdcrm4ts129934/
"Lou Fusz Chevrolet",3GNKDARM6TS134394,2026,Chevrolet,"Blazer EV",LT,"At Dealership",C26529,2025-11-06,https://www.loufuszchevrolet.com/inventory/new-2026-chevrolet-blazer-ev-lt-front-wheel-drive-suv-3gnkdarm6ts134394/
"Lou Fusz Chevrolet",3GNKDCRM5TS134365,2026,Chevrolet,"Blazer EV",RS,"At Dealership",C26518,2025-11-06,https://www.loufuszchevrolet.com/inventory/new-2026-chevrolet-blazer-ev-rs-front-wheel-drive-suv-3gnkdcrm5ts134365/
"Lou Fusz Chevrolet",1HA3GRC76SN022124,2025,Chevrolet,"Express Cutaway 3500",1WT,"At Dealership",CF252432,2025-10-01,https://www.loufuszchevrolet.com/inventory/new-2025-chevrolet-express-cutaway-3500-1wt-rear-wheel-drive-regular-wheelbase-1ha3grc76sn022124/
"Lou Fusz Chevrolet",1GNS6GKL8TR203281,2026,Chevrolet,Suburban,"High Country","At Dealership",C26579,2025-12-03,https://www.loufuszchevrolet.com/inventory/new-2026-chevrolet-suburban-high-country-four-wheel-drive-suv-1gns6gkl8tr203281/
"Lou Fusz Chevrolet",1GCZGHF77S1278820,2025,Chevrolet,"Express Cargo",WT,"At Dealership",CF252435,2025-11-12,https://www.loufuszchevrolet.com/inventory/new-2025-chevrolet-express-cargo-wt-rear-wheel-drive-3500-extended-wheelbase-1gczghf77s1278820/
"Lou Fusz Chevrolet",1GB4KSEY3TF144962,2026,Chevrolet,"Silverado 3500 HD Chassis Cab","Work Truck","At Dealership",CF26550,2025-10-07,https://www.loufuszchevrolet.com/inventory/new-2026-chevrolet-silverado-3500-hd-chassis-cab-work-truck-four-wheel-drive-crew-cab-1gb4ksey3tf144962/
"Lou Fusz Chevrolet",1HA3GTC76SN020810,2025,Chevrolet,"Express Cutaway 3500",1WT,"At Dealership",CF252458,2025-09-17,https://www.loufuszchevrolet.com/inventory/new-2025-chevrolet-express-cutaway-3500-1wt-rear-wheel-drive-long-wheelbase-1ha3gtc76sn020810/
"Lou Fusz Chevrolet",1GB4KSEY6SF281814,2025,Chevrolet,"Silverado 3500 HD Chassis Cab","Work Truck","In Transit",CF252455,2025-04-08,https://www.loufuszchevrolet.com/inventory/new-2025-chevrolet-silverado-3500-hd-chassis-cab-work-truck-four-wheel-drive-crew-cab-1gb4ksey6sf281814/
"Lou Fusz Chevrolet",1GB3KSEYXTF118466,2026,Chevrolet,"Silverado 3500 HD Chassis Cab","Work Truck","At Dealership",CF26612,2025-09-05,https://www.loufuszchevrolet.com/inventory/new-2026-chevrolet-silverado-3500-hd-chassis-cab-work-truck-four-wheel-drive-regular-cab-1gb3kseyxtf118466/
"Lou Fusz Chevrolet",1GB0GRF74S1211885,2025,Chevrolet,"Express Cutaway 3500",1WT,"At Dealership",CF252462,2025-05-10,https://www.loufuszchevrolet.com/inventory/new-2025-chevrolet-express-cutaway-3500-1wt-rear-wheel-drive-regular-wheelbase-1gb0grf74s1211885/
