"Dealership Name",VIN,Year,Make,Model,Trim,"Vehicle Status","Stock Number","Date In stock","VDP URLs"
"Fusz Toyota",JTDAFAAF2T3014271,2026,Toyota,"Toyota Crown"," Platinum","In Stock",T251029,2025-07-17,https://www.fusztoyota.com/inventory/new-2026-toyota-toyota-crown-platinum-all-wheel-drive-platinum-jtdafaaf2t3014271/
"Fusz Toyota",5TFLA5DB6TX358394,2026,Toyota,Tundra," SR5","In Stock",T260152,2025-10-18,https://www.fusztoyota.com/inventory/new-2026-toyota-tundra-sr5-4-wheel-drive-sr5-crewmax-5-5-5tfla5db6tx358394/
"Fusz Toyota",5TFLA5DB4TX363982,2026,Toyota,Tundra," SR5","In Stock",T260195,2025-11-06,https://www.fusztoyota.com/inventory/new-2026-toyota-tundra-sr5-4-wheel-drive-sr5-crewmax-5-5-5tfla5db4tx363982/
"Fusz Toyota",JTDACAAJ0T3038260,2026,Toyota,"Toyota Crown Signia"," XLE","In Stock",T260633,2025-12-20,https://www.fusztoyota.com/inventory/new-2026-toyota-toyota-crown-signia-xle-all-wheel-drive-xle-jtdacaaj0t3038260/
"Fusz Toyota",JTEVB5BR3T5034008,2026,Toyota,"4Runner i-FORCE MAX","4Runner TRD Off-Road Premium","In Stock",T260768,2026-01-25,https://www.fusztoyota.com/inventory/new-2026-toyota-4runner-i-force-max-4runner-trd-off-road-premium-part-time-4-wheel-drive-4wd-trd-off-rd-prem-jtevb5br3t5034008/
"Fusz Toyota",JTEVB5BR1T5035724,2026,Toyota,"4Runner i-FORCE MAX","4Runner TRD Pro","In Transit",T260906,2026-02-05,https://www.fusztoyota.com/inventory/new-2026-toyota-4runner-i-force-max-4runner-trd-pro-part-time-4-wheel-drive-4wd-trd-pro-jtevb5br1t5035724/
"Fusz Toyota",5TFLA5DB2TX389867,2026,Toyota,Tundra," SR5","In Stock",T260727,2026-02-07,https://www.fusztoyota.com/inventory/new-2026-toyota-tundra-sr5-4-wheel-drive-sr5-crewmax-5-5-5tfla5db2tx389867/
"Fusz Toyota",JTND4MBE2T3263742,2026,Toyota,"Corolla Hatchback"," FX","In Stock",T260839,2026-02-19,https://www.fusztoyota.com/inventory/new-2026-toyota-corolla-hatchback-fx-front-wheel-drive-fx-5drhatchback-jtnd4mbe2t3263742/
"Fusz Toyota",5TFLA5DB3TX394432,2026,Toyota,Tundra," SR5","In Stock",T260795,2026-02-21,https://www.fusztoyota.com/inventory/new-2026-toyota-tundra-sr5-4-wheel-drive-sr5-crewmax-5-5-5tfla5db3tx394432/
"Fusz Toyota",3TMKB5FN3TM064182,2026,Toyota,Tacoma," SR5","In Stock",T260821,2026-02-27,https://www.fusztoyota.com/inventory/new-2026-toyota-tacoma-sr5-rear-wheel-drive-4x2-double-cab-3tmkb5fn3tm064182/
"Fusz Toyota",JTEVB5BR3T5041556,2026,Toyota,"4Runner i-FORCE MAX","4Runner TRD Off-Road","In Stock",T261025,2026-03-26,https://www.fusztoyota.com/inventory/new-2026-toyota-4runner-i-force-max-4runner-trd-off-road-part-time-4-wheel-drive-4wd-trd-off-rd-jtevb5br3t5041556/
"Fusz Toyota",3TYLC5LN3TT064791,2026,Toyota,"Tacoma i-FORCE MAX","Tacoma Trailhunter","In Stock",T260998,2026-03-28,https://www.fusztoyota.com/inventory/new-2026-toyota-tacoma-i-force-max-tacoma-trailhunter-4-wheel-drive-4x4-double-cab-hv-3tylc5ln3tt064791/
"Fusz Toyota",7SVAAABA4TX091725,2026,Toyota,Sequoia," SR5","In Stock",T260973,2026-04-03,https://www.fusztoyota.com/inventory/new-2026-toyota-sequoia-sr5-4-wheel-drive-sr5-hybrid-7svaaaba4tx091725/
"Fusz Toyota",JF1ZNBE13T9079028,2026,Toyota,GR86," Premium MT","In Transit",T261103,2026-04-11,https://www.fusztoyota.com/inventory/new-2026-toyota-gr86-premium-mt-rear-wheel-drive-22-coupe-6-spd-mt-jf1znbe13t9079028/
"Fusz Toyota",5TFNA5ECXTX055571,2026,Toyota,Tundra," Platinum","In Stock",T261030,2026-04-16,https://www.fusztoyota.com/inventory/new-2026-toyota-tundra-platinum-4-wheel-drive-platinum-crewmax-6-5-5tfna5ecxtx055571/
"Fusz Toyota",JTM7ERAV1TJ006628,2026,Toyota,"RAV4 Plug-in Hybrid"," XSE","In Stock",T261138,2026-04-17,https://www.fusztoyota.com/inventory/new-2026-toyota-rav4-plug-in-hybrid-xse-all-wheel-drive-plug-in-hybrid-awd-jtm7erav1tj006628/
"Fusz Toyota",JTEVB5BR2T5044982,2026,Toyota,"4Runner i-FORCE MAX","4Runner Limited","In Stock",T261123,2026-04-22,https://www.fusztoyota.com/inventory/new-2026-toyota-4runner-i-force-max-4runner-limited-full-time-4-wheel-drive-4wd-limited-jtevb5br2t5044982/
"Fusz Toyota",3TMLB5JN3TM269447,2026,Toyota,Tacoma," SR5","In Stock",T261071,2026-04-23,https://www.fusztoyota.com/inventory/new-2026-toyota-tacoma-sr5-4-wheel-drive-4x4-double-cab-3tmlb5jn3tm269447/
"Fusz Toyota",JTEVA5BR0T5128012,2026,Toyota,4Runner," TRD Sport Premium","In Transit",T261153,2026-04-23,https://www.fusztoyota.com/inventory/new-2026-toyota-4runner-trd-sport-premium-part-time-4-wheel-drive-4wd-trd-sport-prem-jteva5br0t5128012/
"Fusz Toyota",JTEVA5BR3T5128263,2026,Toyota,4Runner," TRD Off-Road Premium","In Stock",T261143,2026-04-24,https://www.fusztoyota.com/inventory/new-2026-toyota-4runner-trd-off-road-premium-part-time-4-wheel-drive-4wd-trd-off-rd-prem-jteva5br3t5128263/
