"Dealership Name",VIN,Year,Make,Model,Trim,"Vehicle Status","Stock Number","Date In stock","VDP URLs"
"Lou Fusz Evansville",JM3KJDHA1S1103006,2025,Mazda,"CX-70 PHEV","Premium Package",,WM250002L,2024-06-05,https://www.fuszevansville.com/inventory/new-2025-mazda-cx-70-phev-premium-package-awd-sport-utility-jm3kjdha1s1103006/
"Lou Fusz Evansville",7MMVAADW3TN144799,2026,Mazda,"CX-50 Hybrid",Premium,,WM260004L,2025-09-26,https://www.fuszevansville.com/inventory/new-2026-mazda-cx-50-hybrid-premium-awd-sport-utility-7mmvaadw3tn144799/
"Lou Fusz Evansville",JM3KKCHA1T1356951,2026,Mazda,"CX-90 PHEV","Premium Sport",,WM260029L,2025-12-09,https://www.fuszevansville.com/inventory/new-2026-mazda-cx-90-phev-premium-sport-awd-sport-utility-jm3kkcha1t1356951/
"Lou Fusz Evansville",7MMVAADW2TN156765,2026,Mazda,"CX-50 Hybrid",Premium,,WM260072,2025-12-31,https://www.fuszevansville.com/inventory/new-2026-mazda-cx-50-hybrid-premium-awd-sport-utility-7mmvaadw2tn156765/
"Lou Fusz Evansville",JM3KJDHD7T1202635,2026,Mazda,CX-70,"3.3 Turbo Premium",,WM260075,2025-12-31,https://www.fuszevansville.com/inventory/new-2026-mazda-cx-70-3-3-turbo-premium-awd-sport-utility-jm3kjdhd7t1202635/
"Lou Fusz Evansville",JM3KKEHD1T1369785,2026,Mazda,CX-90,"Premium Plus",,WM260154,2026-03-02,https://www.fuszevansville.com/inventory/new-2026-mazda-cx-90-premium-plus-awd-sport-utility-jm3kkehd1t1369785/
"Lou Fusz Evansville",JM3KKDHCXT1370211,2026,Mazda,CX-90,"S Premium Sport",,WM260080,2025-12-31,https://www.fuszevansville.com/inventory/new-2026-mazda-cx-90-s-premium-sport-awd-sport-utility-jm3kkdhcxt1370211/
"Lou Fusz Evansville",JM1BPBNY5T1860067,2026,Mazda,"Mazda3 Hatchback","2.5 Turbo Premium Plus",,WM260084L,2025-12-31,https://www.fuszevansville.com/inventory/new-2026-mazda-mazda3-hatchback-2-5-turbo-premium-plus-awd-hatchback-jm1bpbny5t1860067/
"Lou Fusz Evansville",JM3KKEHA2T1371633,2026,Mazda,"CX-90 PHEV","Premium Plus",,WM260083L,2025-12-31,https://www.fuszevansville.com/inventory/new-2026-mazda-cx-90-phev-premium-plus-awd-sport-utility-jm3kkeha2t1371633/
"Lou Fusz Evansville",KNDNC5KA4T6145916,2026,Kia,"Carnival MPV Hybrid",EX,,E678077,2026-02-06,https://www.fuszevansville.com/inventory/new-2026-kia-carnival-mpv-hybrid-ex-fwd-4d-passenger-van-kndnc5ka4t6145916/
"Lou Fusz Evansville",3MVDMBCL9TM126977,2026,Mazda,CX-30,"2.5 S Carbon Edition",,WM260093,2026-02-12,https://www.fuszevansville.com/inventory/new-2026-mazda-cx-30-2-5-s-carbon-edition-awd-sport-utility-3mvdmbcl9tm126977/
"Lou Fusz Evansville",5XYPLES16VG003107,2027,Kia,Telluride,"X-Pro SX-Prestige",,E782004,2026-01-30,https://www.fuszevansville.com/inventory/new-2027-kia-telluride-x-pro-sx-prestige-awd-4d-sport-utility-5xyples16vg003107/
"Lou Fusz Evansville",JM3KKEHC0T1375374,2026,Mazda,CX-90,"S Premium Plus",,WM260100,2026-02-19,https://www.fuszevansville.com/inventory/new-2026-mazda-cx-90-s-premium-plus-awd-sport-utility-jm3kkehc0t1375374/
"Lou Fusz Evansville",7MMVAAEW2TN163777,2026,Mazda,"CX-50 Hybrid","Premium Plus",,WM260126,2026-02-25,https://www.fuszevansville.com/inventory/new-2026-mazda-cx-50-hybrid-premium-plus-awd-sport-utility-7mmvaaew2tn163777/
"Lou Fusz Evansville",5XYK6CDF9TG421317,2026,Kia,Sportage,X-Line,,E670127,2026-03-05,https://www.fuszevansville.com/inventory/new-2026-kia-sportage-x-line-awd-4d-sport-utility-5xyk6cdf9tg421317/
"Lou Fusz Evansville",JM3KJDHCXT1205472,2026,Mazda,CX-70,"3.3 Turbo S Premium",,WM260142,2026-03-16,https://www.fuszevansville.com/inventory/new-2026-mazda-cx-70-3-3-turbo-s-premium-awd-sport-utility-jm3kjdhcxt1205472/
"Lou Fusz Evansville",7MMVAADW5TN165038,2026,Mazda,"CX-50 Hybrid",Premium,,WM260151,2026-03-03,https://www.fuszevansville.com/inventory/new-2026-mazda-cx-50-hybrid-premium-awd-sport-utility-7mmvaadw5tn165038/
"Lou Fusz Evansville",KNDPVDDG9T7363407,2026,Kia,"Sportage Hybrid",EX,,E676041,2026-03-19,https://www.fuszevansville.com/inventory/new-2026-kia-sportage-hybrid-ex-awd-4d-sport-utility-kndpvddg9t7363407/
"Lou Fusz Evansville",3MVDMBDL1TM116166,2026,Mazda,CX-30,"2.5 S Premium",,WM260158L,2026-03-02,https://www.fuszevansville.com/inventory/new-2026-mazda-cx-30-2-5-s-premium-awd-sport-utility-3mvdmbdl1tm116166/
"Lou Fusz Evansville",7MMVAADW8TN161663,2026,Mazda,"CX-50 Hybrid",Premium,,WM260155,2026-03-02,https://www.fuszevansville.com/inventory/new-2026-mazda-cx-50-hybrid-premium-awd-sport-utility-7mmvaadw8tn161663/
"Lou Fusz Evansville",JM3KKCHA8T1378171,2026,Mazda,"CX-90 PHEV","Premium Sport",,WM260162L,2026-03-16,https://www.fuszevansville.com/inventory/new-2026-mazda-cx-90-phev-premium-sport-awd-sport-utility-jm3kkcha8t1378171/
"Lou Fusz Evansville",JM3KKDHCXT1380558,2026,Mazda,CX-90,"S Premium Sport",,WM260163,2026-03-16,https://www.fuszevansville.com/inventory/new-2026-mazda-cx-90-s-premium-sport-awd-sport-utility-jm3kkdhcxt1380558/
"Lou Fusz Evansville",JM3KKDHC9T1380793,2026,Mazda,CX-90,"S Premium Sport",,WM260164,2026-03-16,https://www.fuszevansville.com/inventory/new-2026-mazda-cx-90-s-premium-sport-awd-sport-utility-jm3kkdhc9t1380793/
"Lou Fusz Evansville",7MMVAADW0TN165609,2026,Mazda,"CX-50 Hybrid",Premium,,WM260171L,2026-03-06,https://www.fuszevansville.com/inventory/new-2026-mazda-cx-50-hybrid-premium-awd-sport-utility-7mmvaadw0tn165609/
