"Dealership Name",VIN,Year,Make,Model,Trim,"Vehicle Status","Stock Number","Date In stock","VDP URLs"
"Lou Fusz Ford",1FMCU9GN5SUB04787,2025,Ford,Escape,Active,"At Dealership",F25375,2025-04-18,https://www.loufuszford.com/inventory/new-2025-ford-escape-active-awd-4d-sport-utility-1fmcu9gn5sub04787/
"Lou Fusz Ford",1FDWE3FN7TDD10736,2026,Ford,E-350SD,Base,"At Dealership",FF26003,2025-06-23,https://www.loufuszford.com/inventory/new-2026-ford-e-350sd-base-rwd-specialty-vehicle-1fdwe3fn7tdd10736/
"Lou Fusz Ford",1FDWE3FN2TDD11051,2026,Ford,E-350SD,Base,"At Dealership",FF26004,2025-06-23,https://www.loufuszford.com/inventory/new-2026-ford-e-350sd-base-rwd-specialty-vehicle-1fdwe3fn2tdd11051/
"Lou Fusz Ford",1FTRF3BA6TEC39508,2026,Ford,F-350SD,XL,"At Dealership",FF26020,2025-08-28,https://www.loufuszford.com/inventory/new-2026-ford-f-350sd-xl-4wd-2d-standard-cab-1ftrf3ba6tec39508/
"Lou Fusz Ford",1FMCU9GN9TUA05276,2026,Ford,Escape,Active,"At Dealership",F26056,2025-10-01,https://www.loufuszford.com/inventory/new-2026-ford-escape-active-awd-4d-sport-utility-1fmcu9gn9tua05276/
"Lou Fusz Ford",1FMCU9GN0TUA02380,2026,Ford,Escape,Active,"At Dealership",F26057,2025-10-07,https://www.loufuszford.com/inventory/new-2026-ford-escape-active-awd-4d-sport-utility-1fmcu9gn0tua02380/
"Lou Fusz Ford",1FTBW9C87TKA06612,2026,Ford,Transit-350,Base,"At Dealership",FF26082,2025-10-09,https://www.loufuszford.com/inventory/new-2026-ford-transit-350-base-rwd-3d-cargo-van-1ftbw9c87tka06612/
"Lou Fusz Ford",1FMJK1MG0SEA61037,2025,Ford,"Expedition Max",Platinum,"At Dealership",F25886,2025-10-20,https://www.loufuszford.com/inventory/new-2025-ford-expedition-max-platinum-4wd-4d-sport-utility-1fmjk1mg0sea61037/
"Lou Fusz Ford",1FT7W2BA4TED01375,2026,Ford,F-250SD,Lariat,"At Dealership",F26087,2025-10-20,https://www.loufuszford.com/inventory/new-2026-ford-f-250sd-lariat-4wd-4d-crew-cab-1ft7w2ba4ted01375/
"Lou Fusz Ford",3FMCR9BN7SRF58782,2025,Ford,"Bronco Sport","Big Bend","At Dealership",F25907,2025-12-29,https://www.loufuszford.com/inventory/new-2025-ford-bronco-sport-big-bend-4wd-4d-sport-utility-3fmcr9bn7srf58782/
"Lou Fusz Ford",1FTBW9C8XTKA12128,2026,Ford,Transit-350,Base,"At Dealership",FF26122,2025-10-28,https://www.loufuszford.com/inventory/new-2026-ford-transit-350-base-rwd-3d-cargo-van-1ftbw9c8xtka12128/
"Lou Fusz Ford",3FMCR9GN6SRF53856,2025,Ford,"Bronco Sport",Heritage,"At Dealership",F25939,2025-11-07,https://www.loufuszford.com/inventory/new-2025-ford-bronco-sport-heritage-4wd-4d-sport-utility-3fmcr9gn6srf53856/
"Lou Fusz Ford",1FMCU9MN8TUA12076,2026,Ford,Escape,ST-Line,"At Dealership",F26141,2025-11-06,https://www.loufuszford.com/inventory/new-2026-ford-escape-st-line-awd-4d-sport-utility-1fmcu9mn8tua12076/
"Lou Fusz Ford",1FTBW9C83TKA20667,2026,Ford,Transit-350,Base,"At Dealership",FF26143,2025-11-03,https://www.loufuszford.com/inventory/new-2026-ford-transit-350-base-rwd-3d-cargo-van-1ftbw9c83tka20667/
"Lou Fusz Ford",1FTBW9C89TKA24898,2026,Ford,Transit-350,Base,"At Dealership",FF26142,2025-11-05,https://www.loufuszford.com/inventory/new-2026-ford-transit-350-base-rwd-3d-cargo-van-1ftbw9c89tka24898/
