"Dealership Name",VIN,Year,Make,Model,Trim,"Vehicle Status","Stock Number","Date In stock","VDP URLs"
"Lou Fusz Automotive Network",1GD3ULEYXSF187521,2025,GMC,"Sierra 2500 HD",Pro,"Dealer Retail Stock - Upfitted",BF330725,2024-11-20,https://www.fusz.com/inventory/new-2025-gmc-sierra-2500-hd-pro-four-wheel-drive-regular-cab-1gd3uleyxsf187521/
"Lou Fusz Automotive Network",3FMCR9GN7SRE41387,2025,Ford,"Bronco Sport",Heritage,,F25334,2025-04-11,https://www.fusz.com/inventory/new-2025-ford-bronco-sport-heritage-4wd-4d-sport-utility-3fmcr9gn7sre41387/
"Lou Fusz Automotive Network",1GTW7BF73S1115789,2025,GMC,"Savana Cargo","Work Van","Dealer Retail Stock - Upfitted",BF34260,2024-12-06,https://www.fusz.com/inventory/new-2025-gmc-savana-cargo-work-van-rear-wheel-drive-2500-extended-wheelbase-1gtw7bf73s1115789/
"Lou Fusz Automotive Network",1FMCU9GN5SUB04787,2025,Ford,Escape,Active,,F25375,2025-04-18,https://www.fusz.com/inventory/new-2025-ford-escape-active-awd-4d-sport-utility-1fmcu9gn5sub04787/
"Lou Fusz Automotive Network",3C7WRTCJ3SG532365,2025,Ram,"3500 Chassis Cab",Tradesman,,DR25114,2025-04-01,https://www.fusz.com/inventory/new-2025-ram-3500-chassis-cab-tradesman-4wd-crew-cab-chassis-cab-3c7wrtcj3sg532365/
"Lou Fusz Automotive Network",3C7WRTCJ2SG518845,2025,Ram,"3500 Chassis Cab",Tradesman,,DR25126,2025-05-14,https://www.fusz.com/inventory/new-2025-ram-3500-chassis-cab-tradesman-4wd-crew-cab-chassis-cab-3c7wrtcj2sg518845/
"Lou Fusz Automotive Network",3C7WRTCJ0SG551357,2025,Ram,"3500 Chassis Cab",Tradesman,,DR25150,2025-06-01,https://www.fusz.com/inventory/new-2025-ram-3500-chassis-cab-tradesman-4wd-crew-cab-chassis-cab-3c7wrtcj0sg551357/
"Lou Fusz Automotive Network",1C4SDJFT9SC549637,2025,Dodge,Durango,Pursuit,,DF25075,2025-07-01,https://www.fusz.com/inventory/new-2025-dodge-durango-pursuit-awd-sport-utility-1c4sdjft9sc549637/
"Lou Fusz Automotive Network",KNDNE5K33T6553237,2026,Kia,Carnival,"SX Prestige",,K26M004,2025-07-01,https://www.fusz.com/inventory/new-2026-kia-carnival-sx-prestige-fwd-4d-passenger-van-kndne5k33t6553237/
"Lou Fusz Automotive Network",1C4SDJFT5SC549635,2025,Dodge,Durango,Pursuit,,DF25078,2025-07-01,https://www.fusz.com/inventory/new-2025-dodge-durango-pursuit-awd-sport-utility-1c4sdjft5sc549635/
