"Dealership Name",VIN,Year,Make,Model,Trim,"Vehicle Status","Stock Number","Date In stock","VDP URLs"
"Lou Fusz Mazda",JM3KKEHC7T1358359,2026,Mazda,CX-90,"3.3 Turbo S Premium Plus AWD",,M26024,2025-11-15,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-90-3-3-turbo-s-premium-plus-awd-awd-suv-jm3kkehc7t1358359/
"Lou Fusz Mazda",JM3KKDHC9T1363802,2026,Mazda,CX-90,"3.3 Turbo S Premium Sport AWD",,M26087,2025-12-19,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-90-3-3-turbo-s-premium-sport-awd-awd-suv-jm3kkdhc9t1363802/
"Lou Fusz Mazda",JM3KKBHA4T1359238,2026,Mazda,"CX-90 Plug-In Hybrid","Preferred AWD",,M26086,2025-12-02,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-90-plug-in-hybrid-preferred-awd-awd-suv-jm3kkbha4t1359238/
"Lou Fusz Mazda",7MMVAAEWXTN157225,2026,Mazda,"CX-50 Hybrid","Premium Plus AWD",,M26162,2026-01-09,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-50-hybrid-premium-plus-awd-awd-suv-7mmvaaewxtn157225/
"Lou Fusz Mazda",JM3KJAHF4T1350144,2026,Mazda,"CX-70 Plug-In Hybrid","SC AWD",,M26175,2026-01-13,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-70-plug-in-hybrid-sc-awd-awd-suv-jm3kjahf4t1350144/
"Lou Fusz Mazda",JM3KKCHA4T1374988,2026,Mazda,"CX-90 Plug-In Hybrid","Premium Sport AWD",,M26181,2026-02-13,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-90-plug-in-hybrid-premium-sport-awd-awd-suv-jm3kkcha4t1374988/
"Lou Fusz Mazda",JM3KKEHC7T1382032,2026,Mazda,CX-90,"3.3 Turbo S Premium Plus AWD",,M26258,2026-03-24,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-90-3-3-turbo-s-premium-plus-awd-awd-suv-jm3kkehc7t1382032/
"Lou Fusz Mazda",JM3KMBHA5T0111564,2026,Mazda,CX-5,"2.5 S Select AWD",,M26259,2026-04-15,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-5-2-5-s-select-awd-awd-suv-jm3kmbha5t0111564/
"Lou Fusz Mazda",7MMVABXY9TN481030,2026,Mazda,CX-50,"2.5 Turbo Meridian Edition AWD",,M26286,2026-03-03,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-50-2-5-turbo-meridian-edition-awd-awd-suv-7mmvabxy9tn481030/
"Lou Fusz Mazda",JM1BPALL7T1877079,2026,Mazda,"Mazda3 Hatchback","2.5 S Preferred",,M26289,2026-04-03,https://www.mazda.fusz.com/inventory/new-2026-mazda-mazda3-hatchback-2-5-s-preferred-fwd-hatchback-jm1bpall7t1877079/
"Lou Fusz Mazda",JM1BPBNY1T1872250,2026,Mazda,"Mazda3 Hatchback","2.5 Turbo Premium Plus AWD",,M26365,2026-03-24,https://www.mazda.fusz.com/inventory/new-2026-mazda-mazda3-hatchback-2-5-turbo-premium-plus-awd-awd-hatchback-jm1bpbny1t1872250/
"Lou Fusz Mazda",JM3KJDHC2T1207362,2026,Mazda,CX-70,"3.3 Turbo S Premium AWD",,M26336,2026-04-01,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-70-3-3-turbo-s-premium-awd-awd-suv-jm3kjdhc2t1207362/
"Lou Fusz Mazda",JM3KJEHC3T1207358,2026,Mazda,CX-70,"3.3 Turbo S Premium Plus AWD",,M26451,2026-04-03,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-70-3-3-turbo-s-premium-plus-awd-awd-suv-jm3kjehc3t1207358/
"Lou Fusz Mazda",3MVDMBXL6TM140233,2026,Mazda,CX-30,"2.5 S Aire Edition",,M26391,2026-03-23,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-30-2-5-s-aire-edition-awd-suv-3mvdmbxl6tm140233/
"Lou Fusz Mazda",JM3KKDHCXT1385677,2026,Mazda,CX-90,"3.3 Turbo S Premium Sport AWD",,M26354,2026-04-15,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-90-3-3-turbo-s-premium-sport-awd-awd-suv-jm3kkdhcxt1385677/
"Lou Fusz Mazda",3MVDMBXY5TM144785,2026,Mazda,CX-30,"2.5 Turbo Aire Edition AWD",,M26456,2026-04-01,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-30-2-5-turbo-aire-edition-awd-awd-suv-3mvdmbxy5tm144785/
"Lou Fusz Mazda",7MMVABEY7TN485712,2026,Mazda,CX-50,"2.5 Turbo Premium Plus AWD",,M26370,2026-03-18,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-50-2-5-turbo-premium-plus-awd-awd-suv-7mmvabey7tn485712/
"Lou Fusz Mazda",7MMVABCY5TN487512,2026,Mazda,CX-50,"2.5 Turbo AWD",,M26398,2026-03-20,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-50-2-5-turbo-awd-awd-suv-7mmvabcy5tn487512/
"Lou Fusz Mazda",JM3KJAHF1T1351624,2026,Mazda,"CX-70 Plug-In Hybrid","SC AWD",,M26432,2026-04-15,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-70-plug-in-hybrid-sc-awd-awd-suv-jm3kjahf1t1351624/
"Lou Fusz Mazda",JM3KJAHF3T1351446,2026,Mazda,"CX-70 Plug-In Hybrid","SC AWD",,M26431,2026-04-01,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-70-plug-in-hybrid-sc-awd-awd-suv-jm3kjahf3t1351446/
"Lou Fusz Mazda",JM3KJDHC0T1207473,2026,Mazda,CX-70,"3.3 Turbo S Premium AWD",,M26434,2026-05-01,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-70-3-3-turbo-s-premium-awd-awd-suv-jm3kjdhc0t1207473/
"Lou Fusz Mazda",JM3KKCHD4T1387413,2026,Mazda,CX-90,"3.3 Turbo Premium Sport AWD",,M26428,2026-04-15,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-90-3-3-turbo-premium-sport-awd-awd-suv-jm3kkchd4t1387413/
"Lou Fusz Mazda",JM3KKEHC2T1387607,2026,Mazda,CX-90,"3.3 Turbo S Premium Plus AWD",,M26424,2026-04-15,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-90-3-3-turbo-s-premium-plus-awd-awd-suv-jm3kkehc2t1387607/
"Lou Fusz Mazda",JM3KMBHA3T0135510,2026,Mazda,CX-5,"2.5 S Select AWD",,M26420,2026-05-01,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-5-2-5-s-select-awd-awd-suv-jm3kmbha3t0135510/
