"Dealership Name",VIN,Year,Make,Model,Trim,"Vehicle Status","Stock Number","Date In stock","VDP URLs"
"Mazda of Evansville",JM3KJDHA1S1103006,2025,Mazda,"CX-70 Plug-In Hybrid","Premium Package","At Dealership",WM250002L,2024-06-05,https://www.loufuszmazdaevansville.com/inventory/new-2025-mazda-cx-70-plug-in-hybrid-premium-package-awd-suv-jm3kjdha1s1103006/
"Mazda of Evansville",JM3KJEHA0S1104749,2025,Mazda,"CX-70 Plug-In Hybrid","Premium Plus Package","At Dealership",WM250007L,2024-06-05,https://www.loufuszmazdaevansville.com/inventory/new-2025-mazda-cx-70-plug-in-hybrid-premium-plus-package-awd-suv-jm3kjeha0s1104749/
"Mazda of Evansville",7MMVAADW2SN139432,2025,Mazda,"CX-50 Hybrid","Premium Package","At Dealership",WM250520L,2025-08-18,https://www.loufuszmazdaevansville.com/inventory/new-2025-mazda-cx-50-hybrid-premium-package-awd-suv-7mmvaadw2sn139432/
"Mazda of Evansville",7MMVAADW3TN144799,2026,Mazda,"CX-50 Hybrid",Premium,"At Dealership",WM260004L,2025-09-26,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-50-hybrid-premium-awd-suv-7mmvaadw3tn144799/
"Mazda of Evansville",3MVDMBCLXTM108147,2026,Mazda,CX-30,"2.5 S Preferred","At Dealership",WM260011,2025-10-16,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-30-2-5-s-preferred-awd-suv-3mvdmbclxtm108147/
"Mazda of Evansville",JM3KFBCM5S0780475,2025,Mazda,CX-5,"2.5 S Carbon Edition","At Dealership",WM250590L,2025-12-09,https://www.loufuszmazdaevansville.com/inventory/new-2025-mazda-cx-5-2-5-s-carbon-edition-awd-suv-jm3kfbcm5s0780475/
"Mazda of Evansville",JM3KKCHA1T1356951,2026,Mazda,"CX-90 Plug-In Hybrid","Premium Sport","At Dealership",WM260029,2025-12-09,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-90-plug-in-hybrid-premium-sport-awd-suv-jm3kkcha1t1356951/
"Mazda of Evansville",JM3KKDHC4T1367210,2026,Mazda,CX-90,"S Premium Sport","At Dealership",WM260059L,2026-01-05,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-90-s-premium-sport-awd-suv-jm3kkdhc4t1367210/
"Mazda of Evansville",JM1BPBNY5T1860067,2026,Mazda,"Mazda3 Hatchback","2.5 Turbo Premium Plus","At Dealership",WM260084L,2025-12-31,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-mazda3-hatchback-2-5-turbo-premium-plus-awd-hatchback-jm1bpbny5t1860067/
"Mazda of Evansville",JM3KJDHD7T1202635,2026,Mazda,CX-70,"3.3 Turbo Premium","At Dealership",WM260075,2025-12-31,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-70-3-3-turbo-premium-awd-suv-jm3kjdhd7t1202635/
"Mazda of Evansville",JM3KKCHA2T1364539,2026,Mazda,"CX-90 Plug-In Hybrid","Premium Sport","At Dealership",WM260062L,2025-12-26,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-90-plug-in-hybrid-premium-sport-awd-suv-jm3kkcha2t1364539/
"Mazda of Evansville",3MVDMBCL1TM121577,2026,Mazda,CX-30,"2.5 S Aire Edition","At Dealership",WM260102,2026-02-12,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-30-2-5-s-aire-edition-awd-suv-3mvdmbcl1tm121577/
"Mazda of Evansville",JM3KKDHCXT1370211,2026,Mazda,CX-90,"S Premium Sport","At Dealership",WM260080,2025-12-31,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-90-s-premium-sport-awd-suv-jm3kkdhcxt1370211/
"Mazda of Evansville",JM3KKEHD1T1369785,2026,Mazda,CX-90,"Premium Plus","At Dealership",WM260154,2026-03-02,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-90-premium-plus-awd-suv-jm3kkehd1t1369785/
"Mazda of Evansville",JM1BPALL5T1863438,2026,Mazda,"Mazda3 Hatchback","2.5 S Preferred","At Dealership",WM260090,2026-02-04,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-mazda3-hatchback-2-5-s-preferred-fwd-hatchback-jm1bpall5t1863438/
"Mazda of Evansville",JM1BPALLXT1863645,2026,Mazda,"Mazda3 Hatchback","2.5 S Preferred","At Dealership",WM260091,2026-02-04,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-mazda3-hatchback-2-5-s-preferred-fwd-hatchback-jm1bpallxt1863645/
"Mazda of Evansville",7MMVAADW2TN156765,2026,Mazda,"CX-50 Hybrid",Premium,"At Dealership",WM260072,2025-12-31,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-50-hybrid-premium-awd-suv-7mmvaadw2tn156765/
"Mazda of Evansville",JM3KKEHA2T1371633,2026,Mazda,"CX-90 Plug-In Hybrid","Premium Plus","At Dealership",WM260083L,2025-12-31,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-90-plug-in-hybrid-premium-plus-awd-suv-jm3kkeha2t1371633/
"Mazda of Evansville",3MVDMBCL9TM126977,2026,Mazda,CX-30,"2.5 S Carbon Edition","At Dealership",WM260093,2026-02-12,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-30-2-5-s-carbon-edition-awd-suv-3mvdmbcl9tm126977/
"Mazda of Evansville",JM1BPBNY4T1866345,2026,Mazda,"Mazda3 Hatchback","2.5 Turbo Premium Plus","At Dealership",WM260103,2026-03-04,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-mazda3-hatchback-2-5-turbo-premium-plus-awd-hatchback-jm1bpbny4t1866345/
"Mazda of Evansville",JM3KKEHC0T1375374,2026,Mazda,CX-90,"S Premium Plus","At Dealership",WM260100,2026-02-19,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-90-s-premium-plus-awd-suv-jm3kkehc0t1375374/
"Mazda of Evansville",JM3KJEHCXT1205378,2026,Mazda,CX-70,"3.3 Turbo S Premium Plus","At Dealership",WM260135,2026-03-09,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-70-3-3-turbo-s-premium-plus-awd-suv-jm3kjehcxt1205378/
"Mazda of Evansville",JM3KKCHD6T1377997,2026,Mazda,CX-90,"Premium Sport","At Dealership",WM260130,2026-03-04,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-90-premium-sport-awd-suv-jm3kkchd6t1377997/
"Mazda of Evansville",JM3KJDHCXT1205472,2026,Mazda,CX-70,"3.3 Turbo S Premium","At Dealership",WM260142,2026-03-16,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-70-3-3-turbo-s-premium-awd-suv-jm3kjdhcxt1205472/
"Mazda of Evansville",3MVDMBCL4TM131245,2026,Mazda,CX-30,"2.5 S Carbon Edition","At Dealership",WM260216,2026-04-03,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-30-2-5-s-carbon-edition-awd-suv-3mvdmbcl4tm131245/
"Mazda of Evansville",JM3KJAHF3T1350944,2026,Mazda,"CX-70 Plug-In Hybrid",SC,"At Dealership",WM260196,2026-04-08,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-70-plug-in-hybrid-sc-awd-suv-jm3kjahf3t1350944/
"Mazda of Evansville",JM3KKDHC9T1380793,2026,Mazda,CX-90,"S Premium Sport","At Dealership",WM260164,2026-03-16,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-90-s-premium-sport-awd-suv-jm3kkdhc9t1380793/
"Mazda of Evansville",JM3KKEHC3T1381010,2026,Mazda,CX-90,"S Premium Plus","At Dealership",WM260165,2026-03-16,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-90-s-premium-plus-awd-suv-jm3kkehc3t1381010/
"Mazda of Evansville",JM3KMCHA0T0108559,2026,Mazda,CX-5,"2.5 S Preferred","At Dealership",WM260202,2026-04-03,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-5-2-5-s-preferred-awd-suv-jm3kmcha0t0108559/
"Mazda of Evansville",JM3KMCHA0T0110327,2026,Mazda,CX-5,"2.5 S Preferred","At Dealership",WM260228,2026-04-16,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-5-2-5-s-preferred-awd-suv-jm3kmcha0t0110327/
"Mazda of Evansville",JM3KMCHA5T0110260,2026,Mazda,CX-5,"2.5 S Preferred","At Dealership",WM260197,2026-04-03,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-5-2-5-s-preferred-awd-suv-jm3kmcha5t0110260/
"Mazda of Evansville",JM3KMCHA8T0109913,2026,Mazda,CX-5,"2.5 S Preferred","At Dealership",WM260215L,2026-04-08,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-5-2-5-s-preferred-awd-suv-jm3kmcha8t0109913/
"Mazda of Evansville",JM3KMCHAXT0109251,2026,Mazda,CX-5,"2.5 S Preferred","At Dealership",WM260226,2026-04-09,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-5-2-5-s-preferred-awd-suv-jm3kmchaxt0109251/
"Mazda of Evansville",JM3KMDHA7T0103204,2026,Mazda,CX-5,"2.5 S Premium","At Dealership",WM260223,2026-04-09,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-5-2-5-s-premium-awd-suv-jm3kmdha7t0103204/
"Mazda of Evansville",JM3KMEHA6T0104088,2026,Mazda,CX-5,"2.5 S Premium Plus","At Dealership",WM260190,2026-03-30,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-5-2-5-s-premium-plus-awd-suv-jm3kmeha6t0104088/
"Mazda of Evansville",JM3KKEHD9T1382218,2026,Mazda,CX-90,"Premium Plus","At Dealership",WM260193,2026-03-30,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-90-premium-plus-awd-suv-jm3kkehd9t1382218/
"Mazda of Evansville",JM3KJCHF1T1351148,2026,Mazda,"CX-70 Plug-In Hybrid","SC Plus","At Dealership",WM260200,2026-04-08,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-70-plug-in-hybrid-sc-plus-awd-suv-jm3kjchf1t1351148/
"Mazda of Evansville",7MMVAAEW2TN163777,2026,Mazda,"CX-50 Hybrid","Premium Plus","At Dealership",WM260126,2026-02-25,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-50-hybrid-premium-plus-awd-suv-7mmvaaew2tn163777/
"Mazda of Evansville",JM3KJEHC5T1206325,2026,Mazda,CX-70,"3.3 Turbo S Premium Plus","At Dealership",WM260204,2026-04-03,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-70-3-3-turbo-s-premium-plus-awd-suv-jm3kjehc5t1206325/
"Mazda of Evansville",JM3KKDHCXT1380558,2026,Mazda,CX-90,"S Premium Sport","At Dealership",WM260163,2026-03-16,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-90-s-premium-sport-awd-suv-jm3kkdhcxt1380558/
"Mazda of Evansville",7MMVAADW5TN165038,2026,Mazda,"CX-50 Hybrid",Premium,"At Dealership",WM260151,2026-03-03,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-50-hybrid-premium-awd-suv-7mmvaadw5tn165038/
"Mazda of Evansville",7MMVAAEW5TN164955,2026,Mazda,"CX-50 Hybrid","Premium Plus","At Dealership",WM260152,2026-03-03,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-50-hybrid-premium-plus-awd-suv-7mmvaaew5tn164955/
"Mazda of Evansville",7MMVAADW0TN165609,2026,Mazda,"CX-50 Hybrid",Premium,"At Dealership",WM260171L,2026-03-06,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-50-hybrid-premium-awd-suv-7mmvaadw0tn165609/
"Mazda of Evansville",JM3KKAHD8T1388021,2026,Mazda,CX-90,Select,"At Dealership",WM260264,2026-04-16,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-90-select-awd-suv-jm3kkahd8t1388021/
"Mazda of Evansville",JM3KKCHA8T1378171,2026,Mazda,"CX-90 Plug-In Hybrid","Premium Sport","At Dealership",WM260162,2026-03-16,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-90-plug-in-hybrid-premium-sport-awd-suv-jm3kkcha8t1378171/
"Mazda of Evansville",JM3KKCHD1T1387398,2026,Mazda,CX-90,"Premium Sport","At Dealership",WM260260,2026-04-22,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-90-premium-sport-awd-suv-jm3kkchd1t1387398/
"Mazda of Evansville",JM3KKDHC6T1387376,2026,Mazda,CX-90,"S Premium Sport","At Dealership",WM260259,2026-04-20,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-90-s-premium-sport-awd-suv-jm3kkdhc6t1387376/
"Mazda of Evansville",JM3KKEHC8T1386655,2026,Mazda,CX-90,"S Premium Plus","At Dealership",WM260225,2026-04-09,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-90-s-premium-plus-awd-suv-jm3kkehc8t1386655/
"Mazda of Evansville",JM3KKEHD7T1387496,2026,Mazda,CX-90,"Premium Plus","At Dealership",WM260262,2026-04-22,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-90-premium-plus-awd-suv-jm3kkehd7t1387496/
"Mazda of Evansville",JM3KMDHA2T0121965,2026,Mazda,CX-5,"2.5 S Premium","At Dealership",WM260245,2026-04-16,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-5-2-5-s-premium-awd-suv-jm3kmdha2t0121965/
"Mazda of Evansville",JM3KJAHF8T1351748,2026,Mazda,"CX-70 Plug-In Hybrid",SC,"At Dealership",WM260234,2026-04-13,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-70-plug-in-hybrid-sc-awd-suv-jm3kjahf8t1351748/
