"Dealership Name",VIN,Year,Make,Model,Trim,"Vehicle Status","Stock Number","Date In stock","VDP URLs"
"Lou Fusz Subaru St. Louis",4S4GUHD62T3717529,2026,Subaru,CROSSTREK,Premium,"At Dealership",S26066,2025-12-04,https://www.subaru.fusz.com/inventory/new-2026-subaru-crosstrek-premium-awd-5-door-4s4guhd62t3717529/
"Lou Fusz Subaru St. Louis",JF2BURMD5TY487685,2026,Subaru,OUTBACK,Wilderness,"At Dealership",S26193,2026-02-16,https://www.subaru.fusz.com/inventory/new-2026-subaru-outback-wilderness-awd-wagon-jf2burmd5ty487685/
"Lou Fusz Subaru St. Louis",JF2BUPBD5TY521602,2026,Subaru,OUTBACK,Premium,"At Dealership",S26403,2026-04-28,https://www.subaru.fusz.com/inventory/new-2026-subaru-outback-premium-awd-wagon-jf2bupbd5ty521602/
"Lou Fusz Subaru St. Louis",JF2BURGD8TY489653,2026,Subaru,OUTBACK,"Limited XT","At Dealership",S26388,2026-03-30,https://www.subaru.fusz.com/inventory/new-2026-subaru-outback-limited-xt-awd-wagon-jf2burgd8ty489653/
"Lou Fusz Subaru St. Louis",JF2BUPBD5TY510535,2026,Subaru,OUTBACK,Premium,"At Dealership",S26396,2026-04-01,https://www.subaru.fusz.com/inventory/new-2026-subaru-outback-premium-awd-wagon-jf2bupbd5ty510535/
"Lou Fusz Subaru St. Louis",4S4GUHM69T3767800,2026,Subaru,CROSSTREK,Limited,"At Dealership",S26443,2026-04-16,https://www.subaru.fusz.com/inventory/new-2026-subaru-crosstrek-limited-awd-5-door-4s4guhm69t3767800/
"Lou Fusz Subaru St. Louis",JF2BUPBD7TY530981,2026,Subaru,OUTBACK,Premium,"At Dealership",S26481,2026-05-07,https://www.subaru.fusz.com/inventory/new-2026-subaru-outback-premium-awd-wagon-jf2bupbd7ty530981/
"Lou Fusz Subaru St. Louis",JF2BUPDD3TY531929,2026,Subaru,OUTBACK,Limited,"At Dealership",S26528,2026-05-22,https://www.subaru.fusz.com/inventory/new-2026-subaru-outback-limited-awd-wagon-jf2bupdd3ty531929/
"Lou Fusz Subaru St. Louis",JF2BUPDD3TY535267,2026,Subaru,OUTBACK,Limited,"At Dealership",S26508,2026-05-15,https://www.subaru.fusz.com/inventory/new-2026-subaru-outback-limited-awd-wagon-jf2bupdd3ty535267/
"Lou Fusz Subaru St. Louis",JF2BURKD5TY533549,2026,Subaru,OUTBACK,Wilderness,"At Dealership",S26484,2026-05-15,https://www.subaru.fusz.com/inventory/new-2026-subaru-outback-wilderness-awd-wagon-jf2burkd5ty533549/
