"Dealership Name",VIN,Year,Make,Model,Trim,"Vehicle Status","Stock Number","Date In stock","VDP URLs"
"Lou Fusz Subaru St. Peters",JF2BUPBD0TY469201,2026,Subaru,OUTBACK,Premium,"At Dealership",X26106,2025-12-29,https://www.fuszsubaru.com/inventory/new-2026-subaru-outback-premium-awd-wagon-jf2bupbd0ty469201/
"Lou Fusz Subaru St. Peters",JF2BURGDXTY473146,2026,Subaru,OUTBACK,"Limited XT","At Dealership",X26163,2026-01-29,https://www.fuszsubaru.com/inventory/new-2026-subaru-outback-limited-xt-awd-wagon-jf2burgdxty473146/
"Lou Fusz Subaru St. Peters",4S4SLDL62T3005657,2026,Subaru,FORESTER,Wilderness,"At Dealership",X26132,2026-08-18,https://www.fuszsubaru.com/inventory/new-2026-subaru-forester-wilderness-awd-suv-4s4sldl62t3005657/
"Lou Fusz Subaru St. Peters",JF2BURJD2TY490760,2026,Subaru,OUTBACK,"Touring XT","At Dealership",X26250,2026-02-26,https://www.fuszsubaru.com/inventory/new-2026-subaru-outback-touring-xt-awd-wagon-jf2burjd2ty490760/
"Lou Fusz Subaru St. Peters",JF1GUAFC4T8233059,2026,Subaru,IMPREZA,Sport,"At Dealership",X26299,2026-03-09,https://www.fuszsubaru.com/inventory/new-2026-subaru-impreza-sport-awd-5-door-jf1guafc4t8233059/
"Lou Fusz Subaru St. Peters",4S4GUHD62T3744908,2026,Subaru,CROSSTREK,Premium,"At Dealership",X26301,2026-02-23,https://www.fuszsubaru.com/inventory/new-2026-subaru-crosstrek-premium-awd-5-door-4s4guhd62t3744908/
"Lou Fusz Subaru St. Peters",JF2BUPDD0TY500265,2026,Subaru,OUTBACK,Limited,"At Dealership",X26315,2026-03-09,https://www.fuszsubaru.com/inventory/new-2026-subaru-outback-limited-awd-wagon-jf2bupdd0ty500265/
"Lou Fusz Subaru St. Peters",JF2BURJD9TY503228,2026,Subaru,OUTBACK,"Touring XT","At Dealership",X26369,2026-03-25,https://www.fuszsubaru.com/inventory/new-2026-subaru-outback-touring-xt-awd-wagon-jf2burjd9ty503228/
"Lou Fusz Subaru St. Peters",4S4WMAHDXT3404613,2026,Subaru,ASCENT,"Limited Bronze Edition 7-Passenger","At Dealership",X26331,2026-02-25,https://www.fuszsubaru.com/inventory/new-2026-subaru-ascent-limited-bronze-edition-7-passenger-awd-suv-4s4wmahdxt3404613/
"Lou Fusz Subaru St. Peters",4S4WMAKD4T3417771,2026,Subaru,ASCENT,"Touring 7-Passenger","At Dealership",,2026-08-18,https://www.fuszsubaru.com/inventory/new-2026-subaru-ascent-touring-7-passenger-suv-4s4wmakd4t3417771/
"Lou Fusz Subaru St. Peters",4S4GUHL66T3754858,2026,Subaru,CROSSTREK,Limited,"At Dealership",X26385,2026-03-13,https://www.fuszsubaru.com/inventory/new-2026-subaru-crosstrek-limited-awd-5-door-4s4guhl66t3754858/
"Lou Fusz Subaru St. Peters",4S4WMABD6T3420476,2026,Subaru,ASCENT,"Premium 7-Passenger","At Dealership",X26457,2026-04-08,https://www.fuszsubaru.com/inventory/new-2026-subaru-ascent-premium-7-passenger-awd-suv-4s4wmabd6t3420476/
"Lou Fusz Subaru St. Peters",4S4WMAGD9T3421601,2026,Subaru,ASCENT,"Limited 7-Passenger","At Dealership",X26546,2026-04-16,https://www.fuszsubaru.com/inventory/new-2026-subaru-ascent-limited-7-passenger-awd-suv-4s4wmagd9t3421601/
"Lou Fusz Subaru St. Peters",JF2BUPDD6TY521900,2026,Subaru,OUTBACK,Limited,"At Dealership",X26541,2026-04-29,https://www.fuszsubaru.com/inventory/new-2026-subaru-outback-limited-awd-wagon-jf2bupdd6ty521900/
"Lou Fusz Subaru St. Peters",JF2BURJD8TY524460,2026,Subaru,OUTBACK,"Touring XT","At Dealership",X26530,2026-04-29,https://www.fuszsubaru.com/inventory/new-2026-subaru-outback-touring-xt-awd-wagon-jf2burjd8ty524460/
"Lou Fusz Subaru St. Peters",JF2BURKD3TY522582,2026,Subaru,OUTBACK,Wilderness,"At Dealership",X26542,2026-05-04,https://www.fuszsubaru.com/inventory/new-2026-subaru-outback-wilderness-awd-wagon-jf2burkd3ty522582/
"Lou Fusz Subaru St. Peters",4S4GUHM64T3767042,2026,Subaru,CROSSTREK,Limited,"At Dealership",X26550,2026-04-16,https://www.fuszsubaru.com/inventory/new-2026-subaru-crosstrek-limited-awd-5-door-4s4guhm64t3767042/
"Lou Fusz Subaru St. Peters",4S4GUHM63T3771342,2026,Subaru,CROSSTREK,Limited,"At Dealership",X26571,2026-04-22,https://www.fuszsubaru.com/inventory/new-2026-subaru-crosstrek-limited-awd-5-door-4s4guhm63t3771342/
"Lou Fusz Subaru St. Peters",4S4GUHU66T3769715,2026,Subaru,CROSSTREK,Wilderness,"At Dealership",X26564,2026-04-22,https://www.fuszsubaru.com/inventory/new-2026-subaru-crosstrek-wilderness-awd-5-door-4s4guhu66t3769715/
"Lou Fusz Subaru St. Peters",JF2BUPDD4TY540042,2026,Subaru,OUTBACK,Limited,"At Dealership",X26646,2026-05-18,https://www.fuszsubaru.com/inventory/new-2026-subaru-outback-limited-awd-wagon-jf2bupdd4ty540042/
"Lou Fusz Subaru St. Peters",JF2BURGD1TY537557,2026,Subaru,OUTBACK,"Limited XT","At Dealership",X26631,2026-05-20,https://www.fuszsubaru.com/inventory/new-2026-subaru-outback-limited-xt-awd-wagon-jf2burgd1ty537557/
"Lou Fusz Subaru St. Peters",JF2BURGD2TY540354,2026,Subaru,OUTBACK,"Limited XT","At Dealership",X26647,2026-06-08,https://www.fuszsubaru.com/inventory/new-2026-subaru-outback-limited-xt-awd-wagon-jf2burgd2ty540354/
"Lou Fusz Subaru St. Peters",JF1GUAFC2T8253732,2026,Subaru,IMPREZA,Sport,"At Dealership",X26607,2026-06-18,https://www.fuszsubaru.com/inventory/new-2026-subaru-impreza-sport-awd-5-door-jf1guafc2t8253732/
"Lou Fusz Subaru St. Peters",JF1ZDBS10T9701950,2026,Subaru,BRZ,tS,"At Dealership",X26609,2026-05-20,https://www.fuszsubaru.com/inventory/new-2026-subaru-brz-ts-rwd-2-door-cou-jf1zdbs10t9701950/
"Lou Fusz Subaru St. Peters",4S4GUHM65T3775828,2026,Subaru,CROSSTREK,Limited,"At Dealership",X26626,2026-05-04,https://www.fuszsubaru.com/inventory/new-2026-subaru-crosstrek-limited-awd-5-door-4s4guhm65t3775828/
"Lou Fusz Subaru St. Peters",4S4GUHU63T3775469,2026,Subaru,CROSSTREK,Wilderness,"At Dealership",X26657,2026-05-11,https://www.fuszsubaru.com/inventory/new-2026-subaru-crosstrek-wilderness-awd-5-door-4s4guhu63t3775469/
"Lou Fusz Subaru St. Peters",4S4GUHU67T3775748,2026,Subaru,CROSSTREK,Wilderness,"At Dealership",X26642,2026-05-06,https://www.fuszsubaru.com/inventory/new-2026-subaru-crosstrek-wilderness-awd-5-door-4s4guhu67t3775748/
"Lou Fusz Subaru St. Peters",JF2BURJD8TY542988,2026,Subaru,OUTBACK,"Touring XT","At Dealership",X26674,2026-06-05,https://www.fuszsubaru.com/inventory/new-2026-subaru-outback-touring-xt-awd-wagon-jf2burjd8ty542988/
"Lou Fusz Subaru St. Peters",4S4WMALD8T3422762,2026,Subaru,ASCENT,"Onyx Edition Touring 7-Passenger","At Dealership",X26649,2026-05-04,https://www.fuszsubaru.com/inventory/new-2026-subaru-ascent-onyx-edition-touring-7-passenger-awd-suv-4s4wmald8t3422762/
"Lou Fusz Subaru St. Peters",4S4WMAKD0T3427715,2026,Subaru,ASCENT,"Touring 7-Passenger","At Dealership",X26689,2026-05-28,https://www.fuszsubaru.com/inventory/new-2026-subaru-ascent-touring-7-passenger-awd-suv-4s4wmakd0t3427715/
"Lou Fusz Subaru St. Peters",4S4GUHT62T3781183,2026,Subaru,CROSSTREK,Wilderness,"At Dealership",X26681,2026-05-21,https://www.fuszsubaru.com/inventory/new-2026-subaru-crosstrek-wilderness-awd-5-door-4s4guht62t3781183/
"Lou Fusz Subaru St. Peters",JF2BUPBD9TY546213,2026,Subaru,OUTBACK,Premium,"At Dealership",X26700,2026-06-12,https://www.fuszsubaru.com/inventory/new-2026-subaru-outback-premium-awd-wagon-jf2bupbd9ty546213/
"Lou Fusz Subaru St. Peters",JF2BUPDD9TY549545,2026,Subaru,OUTBACK,Limited,"At Dealership",X26696,2026-06-18,https://www.fuszsubaru.com/inventory/new-2026-subaru-outback-limited-awd-wagon-jf2bupdd9ty549545/
"Lou Fusz Subaru St. Peters",JF2BURGD4TY545801,2026,Subaru,OUTBACK,"Limited XT","At Dealership",X26709,2026-06-23,https://www.fuszsubaru.com/inventory/new-2026-subaru-outback-limited-xt-awd-wagon-jf2burgd4ty545801/
