"Dealership Name",VIN,Year,Make,Model,Trim,"Vehicle Status","Stock Number","Date In stock","VDP URLs"
"Terre Haute KIA",KNDNE5KA4T6139558,2026,Kia,"Carnival MPV Hybrid",SX,"At Dealership",P3311,2025-12-30,https://www.loufuszkiaterrehaute.com/inventory/new-2026-kia-carnival-mpv-hybrid-sx-fwd-minivan-kndne5ka4t6139558/
"Terre Haute KIA",KNDNB5K38T6618415,2026,Kia,"Carnival MPV",LX,"At Dealership",P3354,2026-02-06,https://www.loufuszkiaterrehaute.com/inventory/new-2026-kia-carnival-mpv-lx-fwd-minivan-kndnb5k38t6618415/
"Terre Haute KIA",KNDRHDJG3T5476415,2026,Kia,"Sorento Hybrid",EX,"At Dealership",P3376,2026-02-16,https://www.loufuszkiaterrehaute.com/inventory/new-2026-kia-sorento-hybrid-ex-awd-4dr-sport-utility-kndrhdjg3t5476415/
"Terre Haute KIA",5XYRHDJF3TG453893,2026,Kia,Sorento,"X-Line EX AWD","At Dealership",P3379,2026-02-17,https://www.loufuszkiaterrehaute.com/inventory/new-2026-kia-sorento-x-line-ex-awd-awd-4dr-sport-utility-5xyrhdjf3tg453893/
"Terre Haute KIA",KNDNE5KA2T6133192,2026,Kia,"Carnival MPV Hybrid","SX Prestige","At Dealership",P3423,2026-03-05,https://www.loufuszkiaterrehaute.com/inventory/new-2026-kia-carnival-mpv-hybrid-sx-prestige-fwd-minivan-kndne5ka2t6133192/
"Terre Haute KIA",KNDPUDDG6T7347751,2026,Kia,"Sportage Hybrid",S,"At Dealership",P3411,2026-03-04,https://www.loufuszkiaterrehaute.com/inventory/new-2026-kia-sportage-hybrid-s-awd-4dr-sport-utility-kndpuddg6t7347751/
"Terre Haute KIA",KNDNC5K32T6619041,2026,Kia,"Carnival MPV",EX,"At Dealership",P3438,2026-03-10,https://www.loufuszkiaterrehaute.com/inventory/new-2026-kia-carnival-mpv-ex-fwd-minivan-kndnc5k32t6619041/
"Terre Haute KIA",KNDNC5KA0T6156993,2026,Kia,"Carnival MPV Hybrid",EX,"At Dealership",P3463,2026-03-17,https://www.loufuszkiaterrehaute.com/inventory/new-2026-kia-carnival-mpv-hybrid-ex-fwd-minivan-kndnc5ka0t6156993/
"Terre Haute KIA",KNDRHDJG0T5489512,2026,Kia,"Sorento Hybrid",EX,"At Dealership",P3481,2026-03-24,https://www.loufuszkiaterrehaute.com/inventory/new-2026-kia-sorento-hybrid-ex-awd-4dr-sport-utility-kndrhdjg0t5489512/
"Terre Haute KIA",KNDPU3DG1T7359932,2026,Kia,"Sportage Hybrid",LX,"At Dealership",P3493,2026-03-30,https://www.loufuszkiaterrehaute.com/inventory/new-2026-kia-sportage-hybrid-lx-fwd-4dr-sport-utility-kndpu3dg1t7359932/
"Terre Haute KIA",KNDPU3DG0T7360229,2026,Kia,"Sportage Hybrid",LX,"At Dealership",P3509,2026-04-01,https://www.loufuszkiaterrehaute.com/inventory/new-2026-kia-sportage-hybrid-lx-fwd-4dr-sport-utility-kndpu3dg0t7360229/
"Terre Haute KIA",KNDNE5K39T6626028,2026,Kia,"Carnival MPV",SX,"At Dealership",P3539,2026-04-22,https://www.loufuszkiaterrehaute.com/inventory/new-2026-kia-carnival-mpv-sx-fwd-minivan-kndne5k39t6626028/
"Terre Haute KIA",KNDNE5K38T6632273,2026,Kia,"Carnival MPV","SX Prestige","At Dealership",P3503,2026-04-01,https://www.loufuszkiaterrehaute.com/inventory/new-2026-kia-carnival-mpv-sx-prestige-fwd-minivan-kndne5k38t6632273/
"Terre Haute KIA",5XYRHDJF7TG460300,2026,Kia,Sorento,"X-Line EX AWD","At Dealership",P3468,2026-03-18,https://www.loufuszkiaterrehaute.com/inventory/new-2026-kia-sorento-x-line-ex-awd-awd-4dr-sport-utility-5xyrhdjf7tg460300/
"Terre Haute KIA",KNDNC5K31T6619192,2026,Kia,"Carnival MPV",EX,"At Dealership",P3523,2026-04-07,https://www.loufuszkiaterrehaute.com/inventory/new-2026-kia-carnival-mpv-ex-fwd-minivan-kndnc5k31t6619192/
